Homann	Mitchell	Noble	GRACE
orf19.5910	orf19.1217	orf19.7516	orf19.3301
orf19.6109	orf19.12185	orf19.7550	orf19.6559
orf19.6121	orf19.12185	orf19.7590	orf19.5178
orf19.6680	orf19.12185	orf19.8009	orf19.1649
orf19.6781	orf19.12185	orf19.8477	orf19.3996
orf19.6798	orf19.1219	orf19.9470	orf19.5143
orf19.6817	orf19.1219	orf19.10004	orf19.4015
orf19.6888	orf19.12238	orf19.10665	orf19.6294
orf19.6985	orf19.12238	orf19.10841	orf19.1598
orf19.7150	orf19.12276	orf19.11912	orf19.2873
orf19.7247	orf19.12276	orf19.12108	orf19.4451
orf19.7401	orf19.12307	orf19.12247	orf19.1110
orf19.7436	orf19.12307	orf19.13064	orf19.3704
orf19.3193	orf19.12344	orf19.30	orf19.3796
orf19.4766	orf19.12465	orf19.50	orf19.5991
orf19.7371	orf19.12465	orf19.95	orf19.7529
orf19.7381	orf19.12573	orf19.100	orf19.3177
orf19.3187	orf19.12573	orf19.101	orf19.2330
orf19.4545	orf19.1259	orf19.137	orf19.5608
orf19.4573	orf19.12598	orf19.138	orf19.5650
orf19.173	orf19.12794	orf19.156	orf19.586
orf19.723	orf19.12794	orf19.166	orf19.5825
orf19.1187	orf19.12803	orf19.173	orf19.7081
orf19.1275	orf19.12803	orf19.176	orf19.4258
orf19.1623	orf19.12832	orf19.191	orf19.6541
orf19.1718	orf19.12832	orf19.192	orf19.5465
orf19.2315	orf19.12832	orf19.194	orf19.3087
orf19.2612	orf19.12893	orf19.199	orf19.5693
orf19.3182	orf19.12893	orf19.206	orf19.2013
orf19.3736	orf19.12900	orf19.207	orf19.2029
orf19.4767	orf19.12900	orf19.209	orf19.2084
orf19.4869	orf19.12953	orf19.215	orf19.1229
orf19.1227	orf19.12953	orf19.217	orf19.5188
orf19.1255	orf19.12998	orf19.220	orf19.2407
orf19.1497	orf19.12998	orf19.242	orf19.5597
orf19.1577	orf19.13111	orf19.255	orf19.5148
orf19.2054	orf19.13111	orf19.268	orf19.3859
orf19.3012	orf19.13277	orf19.290	orf19.2215
orf19.4649	orf19.13277	orf19.299	orf19.6568
orf19.3252	orf19.13331	orf19.301	orf19.6828
orf19.610	orf19.13331	orf19.305	orf19.2233
orf19.1150	orf19.13459	orf19.328	orf19.6213
orf19.1773	orf19.13459	orf19.333	orf19.5779
orf19.1757	orf19.13584	orf19.335	orf19.6640
orf19.2743	orf19.13584	orf19.341	orf19.709
orf19.4776	orf19.13607	orf19.348	orf19.6432
orf19.4961	orf19.13607	orf19.403	orf19.5226
orf19.3865	orf19.13772	orf19.419	orf19.819
orf19.2747	orf19.13772	orf19.431	orf19.2629
orf19.3986	orf19.13772	orf19.433	orf19.4697
	orf19.13772	orf19.449	orf19.3696
	orf19.14004	orf19.459	orf19.3130
	orf19.14004	orf19.460	orf19.3098
	orf19.14005	orf19.469	orf19.6438
	orf19.14005	orf19.524	orf19.6105
	orf19.14046	orf19.529	orf19.3168
	orf19.14046	orf19.540	orf19.2761
	orf19.14093	orf19.548	orf19.5487
	orf19.14093	orf19.557	orf19.4635
	orf19.14139	orf19.564	orf19.6936
	orf19.14139	orf19.575	orf19.2369
	orf19.14185	orf19.584	orf19.2404
	orf19.14185	orf19.587	orf19.941
	orf19.1464	orf19.641	orf19.1902
	orf19.1464	orf19.649	orf19.4746
	orf19.1476	orf19.660	orf19.7035
	orf19.1476	orf19.663	orf19.2313
	orf19.1476	orf19.669	orf19.3447
	orf19.1499	orf19.682	orf19.7264
	orf19.1499	orf19.691	orf19.4491
	orf19.1533	orf19.695	orf19.5765
	orf19.1533	orf19.696	orf19.4230
	orf19.1576	orf19.698	orf19.3055
	orf19.1685	orf19.701	orf19.5163
	orf19.1973	orf19.723	orf19.1839
	orf19.1973	orf19.726	orf19.5746
	orf19.2012	orf19.728	orf19.6942
	orf19.2012	orf19.731	orf19.3651
	orf19.2105	orf19.751	orf19.2260
	orf19.2747	orf19.753	orf19.3561
	orf19.2747	orf19.756	orf19.6046
	orf19.391	orf19.757	orf19.3058
	orf19.391	orf19.764	orf19.4585
	orf19.4524	orf19.782	orf19.6075
	orf19.4524	orf19.783	orf19.7062
	orf19.4869	orf19.794	orf19.3265
	orf19.5871	orf19.807	orf19.3451
	orf19.5871	orf19.815	orf19.6926
	orf19.6011	orf19.816	orf19.5516
	orf19.6011	orf19.843	orf19.1232
	orf19.6109	orf19.844	orf19.5947
	orf19.6109	orf19.846	orf19.7215
	orf19.6904	orf19.852	orf19.7232
	orf19.7017	orf19.872	orf19.1491
	orf19.7017	orf19.895	orf19.3062
	orf19.7098	orf19.896	orf19.7227
	orf19.7098	orf19.942	orf19.1633
	orf19.7317	orf19.998	orf19.7645
	orf19.7317	orf19.1036	orf19.2641
	orf19.7319	orf19.1040	orf19.5895
	orf19.7319	orf19.1041	orf19.6707
	orf19.7371	orf19.1092	orf19.6168
	orf19.7371	orf19.1124	orf19.7184
	orf19.7372	orf19.1173	orf19.4941
	orf19.7372	orf19.1185	orf19.4414
	orf19.7372	orf19.1187	orf19.7567
	orf19.7372	orf19.1219	orf19.5067
	orf19.7374	orf19.1264	orf19.2671
	orf19.7374	orf19.1267	orf19.7073
	orf19.7381	orf19.1270	orf19.2653
	orf19.7381	orf19.1276	orf19.3466
	orf19.7385	orf19.1314	orf19.1125
	orf19.7385	orf19.1317	orf19.3434
	orf19.7612	orf19.1341	orf19.645
	orf19.7612	orf19.1364	orf19.703
	orf19.7622	orf19.1373	orf19.3560
	orf19.7622	orf19.1382	orf19.4686
	orf19.8586	orf19.1392	orf19.3536
	orf19.8586	orf19.1397	orf19.2659
	orf19.8634	orf19.1411	orf19.6660
	orf19.4288	orf19.1443	orf19.5629
	orf19.4288	orf19.1445	orf19.7150
	orf19.2963	orf19.1471	orf19.4730
	orf19.2963	orf19.1490	orf19.4528
	orf19.2623	orf19.1497	orf19.6133
	orf19.2623	orf19.1510	orf19.1479
	orf19.4884	orf19.1515	orf19.4629
	orf19.4884	orf19.1567	orf19.6200
	orf19.1795	orf19.2796	orf19.5812
	orf19.7291	orf19.2756	orf19.4023
	orf19.6760	orf19.2518	orf19.585
	orf19.4669	orf19.2138	orf19.7017
	orf19.5037	orf19.4028	orf19.3406
	orf19.11450	orf19.1279	orf19.6055
	orf19.9364	orf19.4993	orf19.811
	orf19.6970	orf19.4620	orf19.297
	orf19.10248	orf19.1282	orf19.4294
	orf19.9791	orf19.3540	orf19.6515
	orf19.6952	orf19.3541	orf19.5934
	orf19.9364	orf19.3856	orf19.2706
	orf19.4966	orf19.3888	orf19.2075
	orf19.7479	orf19.536	orf19.3823
	orf19.7412	orf19.202	orf19.4366
	orf19.5328	orf19.3873	orf19.7484
	orf19.1857	orf19.6716	orf19.6364
	orf19.8907	orf19.3322	orf19.4937
	orf19.14178	orf19.3317	orf19.4255
	orf19.4746	orf19.3314	orf19.1289
	orf19.5235	orf19.7072	orf19.7523
	orf19.3995	orf19.7081	orf19.5505
	orf19.8635	orf19.5130	orf19.158
	orf19.3171	orf19.76	orf19.2655
	orf19.2723	orf19.3651	orf19.2678
	orf19.768	orf19.3276	orf19.2283
	orf19.3208	orf19.3778	orf19.1119
	orf19.1409	orf19.3178	orf19.3548
	orf19.564	orf19.4724	orf19.3952
	orf19.856	orf19.5200	orf19.847
	orf19.11598	orf19.6190	orf19.3173
	orf19.4284	orf19.6417	orf19.642
	orf19.4369	orf19.5647	orf19.4798
	orf19.7389	orf19.3116	orf19.5634
	orf19.4668	orf19.4265	orf19.2426
	orf19.9508	orf19.2340	orf19.6832
	orf19.5011	orf19.1674	orf19.2876
	orf19.4658	orf19.7645	orf19.3442
	orf19.1509	orf19.4628	orf19.6685
	orf19.1593	orf19.4413	orf19.4014
	orf19.695	orf19.6239	orf19.3612
	orf19.6036	orf19.2484	orf19.1310
	orf19.3014	orf19.2492	orf19.412
	orf19.3701	orf19.2517	orf19.4309
	orf19.4763	orf19.2534	orf19.1264
	orf19.5495	orf19.2538	orf19.3505
	orf19.1805	orf19.2605	orf19.4347
	orf19.13950	orf19.2612	orf19.1763
	orf19.12265	orf19.2613	orf19.2753
	orf19.5571	orf19.2653	orf19.99
	orf19.7614	orf19.2686	orf19.4939
	orf19.10359	orf19.2695	orf19.2006
	orf19.2990	orf19.2697	orf19.169
	orf19.4257	orf19.2699	orf19.246
	orf19.2237	orf19.2703	orf19.5826
	orf19.771	orf19.2726	orf19.5087
	orf19.6729	orf19.2752	orf19.1995
	orf19.3396	orf19.2753	orf19.6094
	orf19.2237	orf19.2771	orf19.1422
	orf19.3563	orf19.2777	orf19.4231
	orf19.2033	orf19.2781	orf19.5915
	orf19.11973	orf19.2787	orf19.2958
	orf19.3171	orf19.2797	orf19.5655
	19.769	orf19.2842	orf19.405
	orf19.5251	orf19.2886	orf19.2690
	orf19.7381	orf19.2941	orf19.4208
	orf19.3202	orf19.2952	orf19.5639
	orf19.1825	orf19.2961	orf19.3273
	orf19.5571	orf19.2975	orf19.3071
	orf19.580	orf19.3012	orf19.3213
	orf19.3764	orf19.3029	orf19.7161
	orf19.9081	orf19.3049	orf19.3803
	orf19.5365	orf19.3060	orf19.1910
	orf19.3012	orf19.3066	orf19.7444
	orf19.12351	orf19.3105	orf19.260
	orf19.5445	orf19.3108	orf19.2842
	orf19.6261	orf19.3111	orf19.551
	orf19.3009	orf19.3112	orf19.5499
	orf19.10169	orf19.3122	orf19.5595
	orf19.2763	orf19.3182	orf19.667
	orf19.2392	orf19.3187	orf19.6952
	orf19.4893	orf19.3201	orf19.7105
	orf19.2348	orf19.3203	orf19.1156
	orf19.2653	orf19.3207	orf19.4525
	orf19.5292	orf19.3212	orf19.4496
	orf19.4457	orf19.3226	orf19.3581
	orf19.6194	orf19.3237	orf19.789
	orf19.5094	orf19.3279	orf19.972
	orf19.271	orf19.3283	orf19.7459
	orf19.1759	orf19.3311	orf19.1587
	orf19.12603	orf19.3315	orf19.7069
	orf19.6032	orf19.3330	orf19.3608
	orf19.7201	orf19.3345	orf19.5735
	orf19.9115	orf19.3370	orf19.7678
	orf19.1005	orf19.3384	orf19.831
	orf19.4369	orf19.3395	orf19.1069
	orf19.7389	orf19.3396	orf19.1756
	orf19.4519	orf19.3404	orf19.7245
	orf19.2660	orf19.3407	
	orf19.4529	orf19.3412	orf19.4761
