Homann	Mitchell	Noble	GRACE
	orf19.6889	orf19.7071	orf19.5966
	orf19.5901	orf19.7086	orf19.4416
	orf19.5901	orf19.7096	orf19.7332
	orf19.1341	orf19.7098	orf19.7011
	orf19.1341	orf19.7105	orf19.4889
	orf19.130	orf19.7112	orf19.1977
	orf19.130	orf19.7115	orf19.5234
	orf19.2222	orf19.7150	orf19.4856
	orf19.1283	orf19.7186	orf19.1949
	orf19.1283	orf19.7196	orf19.691
	orf19.1283	orf19.7206	orf19.1747
	orf19.1283	orf19.7208	orf19.3526
	orf19.7510	orf19.7214	orf19.4736
	orf19.7510	orf19.7218	orf19.7396
	orf19.5911	orf19.7221	orf19.873
	orf19.5911	orf19.7224	orf19.4461
	orf19.7164	orf19.7228	orf19.314
	orf19.7164	orf19.7247	orf19.6569
	orf19.5325	orf19.7281	orf19.5337
	orf19.5325	orf19.7282	orf19.5079
	orf19.895	orf19.7304	orf19.6060
	orf19.895	orf19.7305	orf19.635
	orf19.5162	orf19.7310	orf19.1606
	orf19.5162	orf19.7313	orf19.5727
	orf19.7652	orf19.7318	orf19.2172
	orf19.7652	orf19.7320	orf19.4534
	orf19.460	orf19.7328	orf19.3613
	orf19.460	orf19.7329	orf19.3064
	orf19.5848	orf19.7330	orf19.1204
	orf19.6407	orf19.7342	orf19.4599
	orf19.5975	orf19.7347	orf19.3981
	orf19.1032	orf19.7349	orf19.7074
	orf19.2356	orf19.7353	orf19.7083
	orf19.6985	orf19.7359	orf19.3292
	orf19.7371	orf19.7370	orf19.734
	orf19.4766	orf19.7374	orf19.4953
	orf19.3012	orf19.7381	orf19.3736
	orf19.5133	orf19.7388	orf19.7404
	orf19.5917	orf19.7391	orf19.548
	orf19.6203	orf19.7397	orf19.807
	orf19.861	orf19.7472	orf19.7522
	orf19.6038	orf19.7475	orf19.2194
	orf19.5849	orf19.7497	orf19.2193
	orf19.4649	orf19.7503	orf19.3507
	orf19.3294	orf19.7510	orf19.1795
	orf19.2623	orf19.7523	orf19.5640
	orf19.2315	orf19.7554	orf19.6176
	orf19.1069	orf19.7574	orf19.3681
	orf19.3190	orf19.7610	orf19.150
	orf19.6102	orf19.7668	orf19.2967
	orf19.723	orf19.267	orf19.1578
	orf19.3193	orf19.8485	orf19.2694
	orf19.7374	orf19.8650	orf19.1261
	orf19.166 	orf19.8979	orf19.4367
	orf19.2647	orf19.9111	orf19.4577
	orf19.3188	orf19.10080	orf19.5623
	orf19.1358	orf19.10341	orf19.1335
	orf19.1499	orf19.10507	orf19.7307
	orf19.6817	orf19.10711	orf19.6355
	orf19.681	orf19.11256	orf19.7335
	orf19.4662	orf19.11257	orf19.4799
	orf19.2540	orf19.11270	orf19.6908
	orf19.3434	orf19.11726	orf19.7222
	orf19.4961	orf19.11882	orf19.262
	orf19.5953	orf19.11987	orf19.3259
	orf19.6124	orf19.12525	orf19.5184
	orf19.173	orf19.12589	orf19.4993
	orf19.6121	orf19.13191	orf19.4004
	orf19.217	orf19.13757	orf19.6649
	orf19.702		orf19.7552
	orf19.1035		orf19.718
	orf19.1718		orf19.3541
	orf19.2423		orf19.3873
	orf19.255		orf19.213
	orf19.2748		orf19.1283
	orf19.2753		orf19.5959
	orf19.2808		orf19.6652
	orf19.3252		orf19.1248
	orf19.3405		orf19.5260
	orf19.3876		orf19.5685
	orf19.4145		orf19.3052
	orf19.4166		orf19.487
	orf19.4225		orf19.6584
	orf19.4288		orf19.538
	orf19.4450		orf19.747
	orf19.4524		orf19.544
	orf19.5924		orf19.485
	orf19.5940		orf19.4775
	orf19.7372		orf19.3540
	orf19.6227		orf19.1674
	orf19.6713		orf19.1701
	orf19.7319		orf19.7261
	orf19.5995		orf19.2105
	orf19.5759		orf19.1282
	orf19.4979		orf19.2677
	orf19.2395		orf19.4032
	orf19.6626		orf19.536
	orf19.7523		orf19.2611
	orf19.1813		orf19.7057
	orf19.2217		orf19.7441
	orf19.7547		orf19.5436
	orf19.7547		orf19.1460
	orf19.7547		orf19.239
	orf19.5660		orf19.886
	orf19.5660		orf19.4479
	orf19.5175		orf19.5801
	orf19.5175		orf19.7511
	orf19.5175		orf19.3234
	orf19.1577		orf19.6163
	orf19.1577		orf19.903
	orf19.1253		orf19.6284
	orf19.5651		orf19.5244
	orf19.5651		orf19.325
	orf19.5651		orf19.4281
	orf19.4062		orf19.5391
	orf19.4062		orf19.3000
	orf19.8085		orf19.6010
	orf19.8085		orf19.2675
	orf19.8085		orf19.3059
	orf19.3969		orf19.2672
	orf19.6824		orf19.603
	orf19.6824		orf19.3474
	orf19.6824		orf19.5358
	orf19.1275		orf19.7178
	orf19.5389		orf19.4093
	orf19.5389		orf19.5413
	orf19.7385		orf19.2437
	orf19.7385		orf19.1085
	orf19.7385		orf19.6783
	orf19.59		orf19.1560
	orf19.5498		orf19.7581
	orf19.5498		orf19.3206
	orf19.1314		orf19.757
	orf19.1314		orf19.2468
	orf19.1314		orf19.2751
	orf19.3018		orf19.1089
	orf19.3018		orf19.3142
	orf19.3018		orf19.1010
	orf19.878		orf19.2781
	orf19.6506		orf19.4459
	orf19.6506		orf19.2665
	orf19.6506		orf19.59
	orf19.2087		orf19.1114
	orf19.2087		orf19.6736
	orf19.2087		orf19.2304
	orf19.610		orf19.1537
	orf19.259		orf19.1339
	orf19.971		orf19.4466
	orf19.971		orf19.6738
	orf19.971		orf19.2474
	orf19.2823		orf19.2538
	orf19.2823		orf19.2709
	orf19.4941		orf19.6538
	orf19.4941		orf19.1084
	orf19.4941		orf19.1161
	orf19.3281		orf19.799
	orf19.3281		orf19.1734
	orf19.3281		orf19.671
	orf19.3407		orf19.4778
	orf19.3407		orf19.4563
	orf19.3407		orf19.2094
	orf19.5722		orf19.7460
	orf19.5722		orf19.2887
	orf19.5312		orf19.758
	orf19.5312		orf19.4279
	orf19.5312		orf19.6082
	orf19.1971		orf19.7096
	orf19.2842		orf19.425
	orf19.2842		orf19.1016
	orf19.2842		orf19.3476
	orf19.2097		orf19.2040
	orf19.2097		orf19.1687
	orf19.2097		orf19.1254
	orf19.1187		orf19.2230
	orf19.1759		orf19.4293
	orf19.1759		orf19.3251
	orf19.1759		orf19.1883
	orf19.2695		orf19.1457
	orf19.2695		orf19.6340
	orf19.2695		orf19.5513
	orf19.10012		orf19.3524
	orf19.10012		orf19.5174
	orf19.10489		orf19.1444
	orf19.10489		orf19.3545
	orf19.10949		orf19.4961
	orf19.10949		orf19.4967
	orf19.10953		orf19.5214
	orf19.10953		orf19.2106
	orf19.11156		orf19.3799
	orf19.11156		orf19.3176
	orf19.11580		orf19.307
	orf19.11580		orf19.351
	orf19.12035		orf19.2782
	orf19.12035		orf19.3557
	orf19.12458		orf19.3785
	orf19.12458		orf19.2266
	orf19.12732		orf19.1634
	orf19.12732		orf19.4195
	orf19.1277		orf19.3697
	orf19.1277		orf19.7568
	orf19.12854		orf19.719
	orf19.12854		orf19.7386
	orf19.12983		orf19.720
	orf19.12983		orf19.7598
	orf19.13003		orf19.3589
	orf19.13080		orf19.2439
	orf19.13080		orf19.4766
	orf19.13103		orf19.6756
	orf19.13103		orf19.5078
	orf19.1321		orf19.6508
	orf19.1321		orf19.5772
	orf19.1327		orf19.4725
	orf19.1327		orf19.4242
	orf19.13461		orf19.1490
	orf19.13461		orf19.6801
	orf19.13474		orf19.1792
	orf19.13474		orf19.171
	orf19.138		orf19.5447
	orf19.138		orf19.3642
	orf19.13923		orf19.814
	orf19.13923		orf19.7433
	orf19.1401		orf19.5664
	orf19.14065		orf19.4013
	orf19.14065		orf19.5680
	orf19.14215		orf19.5885
	orf19.14215		orf19.4373
	orf19.1490		orf19.5085
	orf19.1490		orf19.2736
	orf19.1524		orf19.4374
	orf19.1524		orf19.5378
	orf19.1563		orf19.2275
	orf19.1563		orf19.5963
	orf19.1714		orf19.3856
	orf19.1714		orf19.5383
	orf19.1779		orf19.2571
	orf19.1779		orf19.4620
	orf19.1957		orf19.202
	orf19.1957		orf19.3211
	orf19.1969		orf19.5833
	orf19.1969		orf19.2885
	orf19.2075		orf19.4732
	orf19.2075		orf19.1771
	orf19.212		orf19.488
	orf19.2237		orf19.7293
	orf19.2237		orf19.3888
	orf19.2296		orf19.6135
	orf19.2296		orf19.3300
	orf19.2332		orf19.6776
	orf19.2332		orf19.900
	orf19.2336		orf19.969
	orf19.2336		orf19.964
	orf19.242		orf19.796
	orf19.242		orf19.6909
	orf19.2476		orf19.3962
	orf19.2476		orf19.337
	orf19.251		orf19.2307
	orf19.251		orf19.1402
	orf19.2613		orf19.6861
	orf19.2613		orf19.6598
	orf19.2762		orf19.5846
	orf19.2765		orf19.4033
	orf19.2765		orf19.3478
	orf19.299		orf19.5732
	orf19.299		orf19.6539
	orf19.2996		orf19.3031
	orf19.2996		orf19.2528
	orf19.3010		orf19.3623
	orf19.3010		orf19.4542
	orf19.3014		orf19.2643
	orf19.3014		orf19.7256
	orf19.3111		orf19.6931
	orf19.3111		orf19.6234
	orf19.337		orf19.2843
	orf19.3380		orf19.4120
	orf19.3380		orf19.922
	orf19.3434		orf19.2609
	orf19.3434		orf19.2560
	orf19.3642		orf19.5692
	orf19.3642		orf19.708
	orf19.3765		orf19.7141
	orf19.3765		orf19.5166
	orf19.3839		orf19.7492
	orf19.3839		orf19.5884
	orf19.3869		orf19.1434
	orf19.3869		orf19.4443
	orf19.3895		orf19.2831
	orf19.3966		orf19.7620
	orf19.3966		orf19.1569
	orf19.3997		orf19.3724
	orf19.3997		orf19.801
	orf19.4255		orf19.677
	orf19.4255		orf19.6489
	orf19.4457		orf19.1945
	orf19.4457		orf19.29
	orf19.4475		orf19.4566
	orf19.4475		orf19.5363
	orf19.4477		orf19.4161
	orf19.4477		orf19.2187
	orf19.45		orf19.7308
	orf19.45		orf19.7599
	orf19.4565		orf19.4849
	orf19.4565		orf19.6341
	orf19.4765		orf19.4601
	orf19.4765		orf19.1776
	orf19.4887		orf19.6346
	orf19.4887		orf19.579
	orf19.4958		orf19.7019
	orf19.4975		orf19.6880
	orf19.4975		orf19.5526
	orf19.4981		orf19.379
	orf19.4981		orf19.2717
	orf19.532		orf19.6821
	orf19.532		orf19.7361
	orf19.5401		orf19.1136
	orf19.5412		orf19.5242
	orf19.5412		orf19.3960
	orf19.548		orf19.5196
	orf19.548		orf19.4030
	orf19.5632		orf19.6881
	orf19.5632		orf19.5027
	orf19.5636		orf19.2775
	orf19.5636		orf19.3027
	orf19.5674		orf19.1137
	orf19.5674		orf19.2288
	orf19.5867		orf19.2289
	orf19.5867		orf19.4817
	orf19.6033		orf19.4223
	orf19.6214		orf19.6702
	orf19.6214		orf19.6701
	orf19.637		orf19.1029
	orf19.690		orf19.1626
	orf19.690		orf19.1570
	orf19.7030		orf19.596
	orf19.7030		orf19.6455
	orf19.7114		orf19.7488
	orf19.7218		orf19.4625
	orf19.7218		orf19.1618
	orf19.7251		orf19.443
	orf19.7251		orf19.441
	orf19.7339		orf19.4492
	orf19.7339		orf19.2974
	orf19.7363		orf19.7438
	orf19.7363		orf19.5425
	orf19.7383		orf19.2818
	orf19.7383		orf19.3867
	orf19.7472		orf19.3862
	orf19.7472		orf19.3861
	orf19.7489		orf19.501
	orf19.7489		orf19.5873
	orf19.7503		orf19.172
	orf19.7503		orf19.6312
	orf19.7517		orf19.5682
	orf19.7517		orf19.1280
	orf19.7586		orf19.5835
	orf19.7586		orf19.3898
	orf19.807		orf19.512
	orf19.807		orf19.7154
	orf19.852		orf19.7358
	orf19.852		orf19.1026
	orf19.8557		orf19.7631
	orf19.8557		orf19.5444
	orf19.8907		orf19.2179
	orf19.8907		orf19.1878
	orf19.893		orf19.1574
	orf19.893		orf19.5198
	orf19.7329		orf19.5168
	orf19.7347		orf19.5722
	orf19.1191		orf19.7285
	orf19.1516		orf19.5008
	orf19.4996		orf19.4133
	orf19.4041		orf19.3970
	orf19.2225		orf19.2325
	orf19.4540		orf19.3333
	orf19.5337		orf19.5850
	orf19.848		orf19.88
	orf19.6358		orf19.2389
	orf19.1085		orf19.6373
	orf19.719		orf19.6648
	orf19.719		orf19.3553
	orf19.422		orf19.7197
	orf19.422		orf19.4203
	orf19.6573		orf19.410
	orf19.6573		orf19.3334
	orf19.5544		orf19.1901
	orf19.794		orf19.567
	orf19.794		orf19.7286
	orf19.3038		orf19.3564
	orf19.3038		orf19.3647
	orf19.3023		orf19.670
	orf19.3023		orf19.2425
	orf19.736		orf19.336
	orf19.736		orf19.6437
	orf19.1298		orf19.5073
	orf19.1298		orf19.7563
	orf19.6000		orf19.4125
	orf19.6000		orf19.407
	orf19.6848		orf19.7449
	orf19.6848		orf19.7569
	orf19.6640		orf19.4268
	orf19.6640		orf19.7673
	orf19.923		orf19.3013
	orf19.923		orf19.3990
	orf19.10882		orf19.1896
	orf19.10995		orf19.4363
	orf19.11484		orf19.6369
	orf19.11700		orf19.640
	orf19.13026		orf19.4659
	orf19.13156		orf19.4499
	orf19.13655		orf19.1352
	orf19.14177		orf19.2362
	orf19.1543		orf19.2825
	orf19.2208		orf19.5066
	orf19.2752		orf19.6903
	orf19.4716		orf19.2519
	orf19.4716		orf19.7072
	orf19.5758		orf19.3551
	orf19.716		orf19.4931
	orf19.7397		orf19.7343
	orf19.7572		orf19.2287
	orf19.7585		orf19.7548
	orf19.7693		orf19.3250
	orf19.8550		orf19.2557
	orf19.8554		orf19.6463
	orf19.3112		orf19.6479
	orf19.3112		orf19.5887
	orf19.1930		orf19.7312
	orf19.9697		orf19.1886
	orf19.11834		orf19.7658
	orf19.11834		orf19.7626
	orf19.12198		orf19.4681
	orf19.12198		orf19.6955
	orf19.10254		orf19.1601
	orf19.10254		orf19.3817
	orf19.10487		orf19.1761
	orf19.1567		orf19.3103
	orf19.10742		orf19.3123
	orf19.10742		orf19.3349
	orf19.24		orf19.7605
	orf19.24		orf19.4205
	orf19.11546		orf19.2682
	orf19.11546		orf19.5847
	orf19.13494		orf19.2687
	orf19.13494		orf19.6891
	orf19.4304		orf19.6314
	orf19.4304		orf19.2524
	orf19.1089		orf19.482
	orf19.1089		orf19.5351
	orf19.1669		orf19.7050
	orf19.12189		orf19.3060
	orf19.10240		orf19.6742
	orf19.10240		orf19.6233
			orf19.2367
			orf19.6884
			orf19.6917
			orf19.4168
			orf19.5268
			orf19.6512
			orf19.700
			orf19.688
			orf19.2735
			orf19.5346
			orf19.5551
			orf19.6923
			orf19.832
			orf19.124
			orf19.4626
			orf19.1386
			orf19.5039
			orf19.7624
			orf19.1941
			orf19.7634
			orf19.1361
			orf19.491
			orf19.793
			orf19.4353
			orf19.2267
			orf19.6052
			orf19.3831
			orf19.474
			orf19.423
			orf19.2715
			orf19.4190
			orf19.3304
			orf19.910
			orf19.7615
			orf19.1622
			orf19.544
			orf19.3531
			orf19.232
			orf19.6544
			orf19.24
			orf19.1152
			orf19.2246
			orf19.6477
			orf19.4026
			orf19.4884
			orf19.3810
			orf19.7412
			orf19.2581
			orf19.5665
			orf19.1366
			orf19.3763
			orf19.6995
			orf19.2137
			orf19.942
			orf19.4846
			orf19.3938
			orf19.2065
			orf19.1805
			orf19.4524
			orf19.2666
			orf19.1793
			orf19.1375
			orf19.4898
			orf19.2115
			orf19.2810
			orf19.2214
			orf19.6068
			orf19.1523
			orf19.4614
			orf19.2241
			orf19.153
			orf19.1442
			orf19.3247
			orf19.318
			orf19.3051
			orf19.2458
			orf19.3023
			orf19.4003
			orf19.3923
			orf19.5498
			orf19.1991
			orf19.805
			orf19.4520
			orf19.4850
			orf19.2217
			orf19.6348
			orf19.3302
			orf19.511
			orf19.7033
			orf19.3669
			orf19.6744
			orf19.6705
			orf19.4923
			orf19.1585
			orf19.2209
			orf19.473
			orf19.3003
			orf19.3950
			orf19.2445
			orf19.2350
			orf19.5815
			orf19.3083
			orf19.4612
			orf19.6081
			orf19.2003
			orf19.339
			orf19.986
			orf19.3895
			orf19.2908
			orf19.5676
			orf19.7128
			orf19.2175
			orf19.3991
			orf19.3099
			orf19.7310
			orf19.5796
			orf19.2575
			orf19.7661
			orf19.3441
			orf19.989
			orf19.673
			orf19.3111
			orf19.6809
			orf19.5757
			orf19.4678
			orf19.5459
			orf19.5755
			orf19.2446
			orf19.1220
			orf19.689
			orf19.341
			orf19.6993
			orf19.1388
			orf19.166
			orf19.681
			orf19.3355
			orf19.2284
			orf19.3348
			orf19.2574
			orf19.4699
			orf19.2016
			orf19.3607
			orf19.3795
			orf19.5535
			orf19.6719
			orf19.541
			orf19.7403
			orf19.5026
			orf19.5292
			orf19.7518
			orf19.7364
			orf19.5839
			orf19.7370
			orf19.4471
			orf19.5970
			orf19.1445
			orf19.7377
			orf19.2045
			orf19.6444
			orf19.5837
			orf19.6882
			orf19.6899
			orf19.644
			orf19.3759
			orf19.2875
			orf19.3150
			orf19.2983
			orf19.4396
			orf19.7495
			orf19.7437
			orf19.4617
			orf19.778
			orf19.2055
			orf19.5426
			orf19.3066
			orf19.367
			orf19.4833
			orf19.2072
			orf19.1980
			orf19.1979
			orf19.4781
			orf19.988
			orf19.3149
			orf19.2019
			orf19.3352
			orf19.2113
			orf19.5205
			orf19.4584
			orf19.3926
			orf19.5663
			orf19.3764
			orf19.3592
			orf19.6091
			orf19.4213
			orf19.4805
			orf19.1249
			orf19.4874
			orf19.2930
			orf19.1665
			orf19.2352
			orf19.5777
			orf19.3922
			orf19.3399
			orf19.1185
			orf19.2848
			orf19.3212
			orf19.7176
			orf19.7243
			orf19.151
			orf19.4573
			orf19.3365
			orf19.3449
			orf19.2396
			orf19.2394
			orf19.4788
			orf19.1800
			orf19.2573
			orf19.329
			orf19.332
			orf19.5106
			orf19.4146
			orf19.1064
			orf19.3026
			orf19.1833
			orf19.316
			orf19.717
			orf19.3393
			orf19.5486
			orf19.825
			orf19.5493
			orf19.2863
			orf19.7483
			orf19.7454
			orf19.4538
			orf19.4631
			orf19.2917
			orf19.837
			orf19.1390
			orf19.2183
			orf19.6375
			orf19.1478
			orf19.4262
			orf19.6459
			orf19.2182
			orf19.2302
			orf19.2695
			orf19.2991
			orf19.3546
			orf19.4655
			orf19.6551
			orf19.2242
			orf19.4608
			orf19.3124
			orf19.1291
			orf19.2292
			orf19.333
			orf19.5932
			orf19.5023
			orf19.4985
			orf19.943
			orf19.7551
			orf19.1357
			orf19.4199
			orf19.4077
			orf19.923
			orf19.4318
			orf19.3658
			orf19.1167
			orf19.2939
			orf19.2943
			orf19.2555
			orf19.2444
			orf19.5818
			orf19.1978
			orf19.97
			orf19.111
			orf19.1153
			orf19.2602
			orf19.309
			orf19.5713
			orf19.4063
			orf19.2170
			orf19.1311
			orf19.5037
			orf19.6305
			orf19.3577
			orf19.5384
			orf19.7566
			orf19.1837
			orf19.5232
			orf19.2488
			orf19.672
			orf19.4191
			orf19.2708
			orf19.6039
			orf19.6175
			orf19.2402
			orf19.7618
			orf19.2518
			orf19.5567
			orf19.706
			orf19.516
			orf19.4582
			orf19.684
			orf19.2104
			orf19.7657
			orf19.4221
			orf19.76
			orf19.3276
			orf19.6417
			orf19.4628
			orf19.6239
			orf19.4618
			orf19.1305
			orf19.5432
			orf19.6879
			orf19.3590
			orf19.661
			orf19.7644
			orf19.6424
			orf19.1299
			orf19.2720
			orf19.1742
			orf19.526
			orf19.7477
			orf19.6910
			orf19.269
			orf19.6749
			orf19.401
			orf19.528
			orf19.4078
			orf19.2799
			orf19.4726
			orf19.5074
			orf19.5793
			orf19.3347
			orf19.2893
			orf19.7236
			orf19.410
			orf19.1115
			orf19.6696
			orf19.2960
			orf19.3628
			orf19.4025
			orf19.3054
			orf19.4154
			orf19.2417
			orf19.4028
			orf19.1279
			orf19.2756
			orf19.2796
			orf19.5528
			orf19.2093
			orf19.514
			orf19.930
			orf19.2138
			orf19.3673
			orf19.2688
			orf19.6252
			orf19.5076
			orf19.6642
			orf19.5817
			orf19.3951
			orf19.5010
			orf19.1814
			orf19.6131
			orf19.4606
			orf19.4863
			orf19.3256
			orf19.1589
			orf19.4448
			orf19.2041
			orf19.2507
			orf19.5356
			orf19.1609
			orf19.3116
			orf19.1885
			orf19.2922
			orf19.680
			orf19.2820
			orf19.4871
			orf19.7037
			orf19.135
			orf19.3322
			orf19.3317
			orf19.3314
			orf19.5130
			orf19.3778
			orf19.4724
			orf19.5200
			orf19.5647
			orf19.6524
			orf19.2830
			orf19.1769
			orf19.5492
			orf19.302
			orf19.1646
			orf19.5407
			orf19.4835
			orf19.6044
			orf19.498
			orf19.7597
			orf19.3575
			orf19.5131
			orf19.2117
			orf19.3324
			orf19.5858
			orf19.984
			orf19.2607
			orf19.4106
			orf19.2803
			orf19.936
			orf19.7382
			orf19.7561
			orf19.5926
			orf19.641
			orf19.6169
			orf19.6858
			orf19.7269
			orf19.4195
			orf19.3534
			orf19.4274
			orf19.1395
			orf19.2095
			orf19.3047
			orf19.2131
			orf19.2143
			orf19.2146
			orf19.6322
			orf19.2311
			orf19.28
			orf19.5760
			orf19.6382
			orf19.2028
			orf19.2098
			orf19.6045
			orf19.7231
			orf19.5229
			orf19.4497
			orf19.1111
			orf19.1661
			orf19.5416
			orf19.7635
			orf19.1413
			orf19.6913
			orf19.4341
			orf19.3207
			orf19.57
			orf19.2909
			orf19.5156
			orf19.6529
			orf19.3166
			orf19.1803
			orf19.583
			orf19.3567
			orf19.1180
			orf19.4899
			orf19.4128
			orf19.2626
			orf19.1891
			orf19.1881
			orf19.1871
			orf19.1865
			orf19.496
			orf19.1477
			orf19.1468
			orf19.1462
			orf19.6875
			orf19.6904
			orf19.6915
			orf19.3298
			orf19.3307
			orf19.350
			orf19.4447
			orf19.897
			orf19.6933
			orf19.4845
			orf19.6981
			orf19.6990
			orf19.3029
			orf19.3035
			orf19.3049
			orf19.6425
			orf19.4587
			orf19.7029
			orf19.5025
			orf19.5004
			orf19.7152
			orf19.7156
			orf19.5720
			orf19.3402
			orf19.1719
			orf19.6195
			orf19.6138
			orf19.2484
			orf19.2008
			orf19.6699
			orf19.5658
			orf19.6190
			orf19.6828
			orf19.3034
			orf19.3242
			orf19.1378
			orf19.744
			orf19.5377
			orf19.5480
			orf19.5484
			orf19.3751
			orf19.3542
			orf19.299
			orf19.4940
			orf19.7604
			orf19.607
			orf19.5865
			orf19.4841
			orf19.4827
			orf19.4826
			orf19.2092
			orf19.2073
			orf19.2067
			orf19.3811
			orf19.3822
			orf19.3841
			orf19.6558
			orf19.6561
			orf19.6041
			orf19.6058
			orf19.6070
			orf19.6533
			orf19.5280
			orf19.5265
			orf19.5263
			orf19.5253
			orf19.4297
			orf19.606
			orf19.1324
			orf19.6385
			orf19.3870
			orf19.2251
			orf19.4932
			orf19.2031
			orf19.2043
			orf19.2046
			orf19.2050
			orf19.4945
			orf19.6063
			orf19.6237
			orf19.6306
			orf19.2306
			orf19.1936
			orf19.3982
			orf19.6011
			orf19.2425
			orf19.2415
			orf19.6178
			orf19.6287
			orf19.7390
			orf19.2124
			orf19.5986
			orf19.5752
			orf19.5747
			orf19.3482
			orf19.5862
			orf19.4283
			orf19.3710
			orf19.6152
			orf19.4630
			orf19.7213
			orf19.3249
			orf19.5641
			orf19.4201
			orf19.354
			orf19.4446
			orf19.6928
			orf19.4610
			orf19.7010
			orf19.7218
			orf19.7336
			orf19.7095
			orf19.1415
			orf19.1545
			orf19.524
			orf19.5656
			orf19.5661
			orf19.5673
			orf19.5677
			orf19.5160
			orf19.6886
			orf19.6900
			orf19.2436
			orf19.2438
			orf19.4186
			orf19.763
			orf19.5224
			orf19.685
			orf19.3089
			orf19.3463
			orf19.4356
			orf19.2640
			orf19.1760
			orf19.2601
			orf19.5550
			orf19.742
			orf19.4897
			orf19.4233
			orf19.6230
			orf19.6328
			orf19.2998
			orf19.4375
			orf19.1333
			orf19.600
			orf19.956
			orf19.4569
			orf19.6522
			orf19.5495
			orf19.5517
			orf19.4506
			orf19.6214
			orf19.2953
			orf19.1235
			orf19.7298
			orf19.2862
			orf19.2534
			orf19.4679
			orf19.3591
			orf19.1308
			orf19.2454
			orf19.2821
			orf19.633
			orf19.3395
			orf19.2964
			orf19.4633
			orf19.785
			orf19.2693
			orf19.6043
			orf19.5005
			orf19.7397
			orf19.1658
			orf19.5672
			orf19.3121
			orf19.6766
			orf19.4802
			orf19.355
			orf19.2703
			orf19.6057
			orf19.4475
			orf19.2007
			orf19.3770
			orf19.313
			orf19.2771
			orf19.3208
			orf19.4705
			orf19.1960
			orf19.137
			orf19.3649
			orf19.7327
			orf19.1364
			orf19.553
			orf19.5118
			orf19.5869
			orf19.4548
			orf19.3558
			orf19.7367
			orf19.403
			orf19.52
			orf19.3139
			orf19.7359
			orf19.7517
			orf19.4769
			orf19.3930
			orf19.3415
			orf19.1699
			orf19.1236
			orf19.212
			orf19.4183
			orf19.5903
			orf6.2225
			orf19.1555
			orf19.6877
			orf19.2940
			orf19.3609
			orf19.979
			orf19.1285
			orf19.5816
			orf19.4240
			orf19.1639
			orf19.6727
			orf19.349
			orf19.7577
			orf19.1130
			orf19.5925
			orf19.7516
			orf19.4211
			orf19.4760
			orf19.216
			orf19.5849
			orf19.2423
			orf19.991
			orf19.1493
			orf19.5978
			orf19.4546
			orf19.1799
			orf19.4287
			orf19.5592
			orf19.1171
			orf19.6449
			orf19.3929
			orf19.5749
			orf19.6398
			orf19.125
			orf19.4060
			orf19.2151
			orf19.1823
			orf19.6166
			orf19.7158
			orf19.857
			orf19.5455
			orf19.2681
			orf19.5780
			orf19.5859
			orf19.4210
			orf19.4688
			orf19.1663
			orf19.105
			orf19.3203
			orf19.56
			orf19.4171
			orf19.1583
			orf19.4142
			orf19.6185
			orf19.592
			orf19.7247
			orf19.183
			orf19.238
			orf19.3151
			orf19.6772
			orf19.1946
			orf19.5615
			orf19.7475
			orf19.5971
			orf19.7257
			orf19.2563
			orf19.5894
			orf19.4743
			orf19.1641
			orf19.4351
			orf19.4771
			orf19.7650
			orf19.7219
			orf19.4424
			orf19.835
			orf19.733
			orf19.1345
			orf19.1142
			orf19.1193
			orf19.2798
			orf19.7486
			orf19.6747
			orf19.4376
			orf19.7629
			orf19.6096
			orf19.2385
			orf19.851
			orf19.2496
			orf19.2391
			orf19.7111
			orf19.457
			orf19.2996
			orf19.6061
			orf19.1063
			orf19.764
			orf19.795
			orf19.4560
			orf19.1698
			orf19.3705
			orf19.4779
			orf19.2791
			orf19.2945
			orf19.5103
			orf19.4326
			orf19.6956
			orf19.5307
			orf19.3458
			orf19.2977
			orf19.3910
			orf19.1847
			orf19.2309
			orf19.5071
			orf19.4783
			orf19.23
			orf19.4151
			orf19.4136
			orf19.3417
			orf19.1170
			orf19.4187
			orf19.1160
			orf19.5662
			orf19.2942
			orf19.6020
			orf19.3966
			orf19.3689
			orf19.658
			orf19.4312
			orf19.4494
			orf19.3920
			orf19.5228
			orf19.1159
			orf19.5496
			orf19.2198
			orf19.2411
			orf19.1449
			orf19.234
			orf19.983
			orf19.6167
			orf19.6202
			orf19.2347
			orf19.1363
			orf19.2197
			orf19.1381
			orf19.6297
			orf19.1832
			orf19.6905
			orf19.2583
			orf19.5789
			orf19.5064
			orf19.304
			orf19.5437
			orf19.5906
			orf19.3852
			orf19.6464
			orf19.2882
			orf19.1365
			orf19.4229
			orf19.4823
			orf19.1709
			orf19.1954
			orf19.1270
			orf19.651
			orf19.2158
			orf19.1504
			orf19.3422
			orf19.1382
			orf19.1509
			orf19.6592
			orf19.2749
			orf19.1984
			orf19.4079
			orf19.841
			orf19.4288
			orf19.4236
			orf19.3586
			orf19.5604
			orf19.1853
			orf19.754
			orf19.2149
			orf19.4519
			orf19.6358
			orf19.478
			orf19.4855
			orf19.1394
			orf19.3915
			orf19.1940
			orf19.1849
			orf19.3980
			orf19.2984
			orf19.1659
			orf19.7324
			orf19.7391
			orf19.1078
			orf19.656
			orf19.4339
