YSD	Medium	length	diameter	septum	MI
89	maltose	44.598	37.014	10.817	0.352119577
89	maltose	43.417	28.16	8.246	0.451479298
89	maltose	41.881	33.242	7.071	0.267993086
89	maltose	45.274	37.268	18.196	0.593133729
89	maltose	48.721	37.547	10.349	0.357654831
89	maltose	45.068	35.302	13.744	0.497030238
89	maltose	57.72	41.596	12.684	0.423135455
89	maltose	41.575	30.991	5.375	0.232669548
89	maltose	44.081	34.026	8.692	0.330940075
89	maltose	46.438	33.5	15.563	0.643987163
89	maltose	44.507	27.406	6.799	0.402885888
89	maltose	44.487	33.099	9.286	0.377078745
89	maltose	50.089	32.931	8.028	0.370800138
89	maltose	42.164	32.558	8.028	0.319325596
89	maltose	48.831	28.844	6.667	0.391304732
89	maltose	44.322	32.51	6.7	0.280970169
89	maltose	47.446	38.378	8.246	0.265630695
89	maltose	42.005	30.696	6.146	0.27398701
89	maltose	41.655	26.55	5.207	0.307698703
89	maltose	44.949	34.673	19.067	0.712885139
89	maltose	42.921	28.503	7.333	0.387409594
89	maltose	42.132	26.8	8.433	0.494680268
89	maltose	44.086	33.797	7.775	0.300085348
89	maltose	41.382	30	7.333	0.33717134
89	maltose	38.759	26.8	7.333	0.395716957
89	maltose	34.577	22.281	5.375	0.374366019
89	maltose	50.16	39.356	13.098	0.424170646
89	maltose	38.163	30.412	5.963	0.246046591
89	maltose	37.642	27.431	4.472	0.223712991
89	maltose	52.273	37.357	18.306	0.685688552
89	maltose	37.818	29.732	6.667	0.285220518
89	maltose	41.979	39.788	8.944	0.237169949
89	maltose	41.868	34.319	6.037	0.214602186
89	maltose	44.352	34.493	8.353	0.311382179
89	maltose	41.958	28.3	7.211	0.377778644
89	maltose	54.557	36.612	10.934	0.445023191
89	maltose	42.719	32.173	6.96	0.287241509
89	maltose	52.671	42.132	7.333	0.217585073
89	maltose	43.41	32.338	8.11	0.336654425
89	maltose	45.976	33.099	4.853	0.203662809
89	maltose	44.845	36.691	7.333	0.244273647
89	maltose	35.808	25.889	7.454	0.398234519
89	maltose	40.585	25.734	3.771	0.231104014
89	maltose	42.421	35.503	11.096	0.373436914
89	maltose	41.355	34.769	6	0.205255534
89	maltose	36.271	27.487	5.375	0.25803779
89	maltose	42.594	30.732	6.289	0.283627523
89	maltose	54.406	40.404	12.806	0.426787381
89	maltose	41.107	28.284	5.333	0.274034795
89	maltose	42	32.028	6	0.245663651
89	maltose	48.671	37.333	13.333	0.465599353
89	maltose	38.093	30.696	8.769	0.354512599
89	maltose	35.901	22.676	5.696	0.397689047
89	maltose	53.337	39.356	6.667	0.229581631
89	maltose	44.806	29.242	7.087	0.371350884
89	maltose	46.39	34.28	6	0.236861239
89	maltose	43.868	30.302	5.735	0.273992496
89	maltose	54.016	38.69	8	0.288678838
89	maltose	55.909	44.181	12.667	0.362814313
89	maltose	48.023	33.797	11.813	0.496653142
89	maltose	42.353	35.734	8.944	0.296655704
89	maltose	42.953	33.849	8.894	0.3334256
89	maltose	42.76	28.844	5.735	0.294754297
89	maltose	42.999	34.769	10.435	0.371164481
89	maltose	43.04	36.908	10.541	0.333052772
89	maltose	41.596	32.249	8.667	0.346647332
89	maltose	63.281	48.776	16.111	0.428532207
89	maltose	42.463	32.201	5.497	0.225111506
89	maltose	36.228	26.566	6.566	0.33704889
1403	dextrose	272.052	21.375	25.751	15.33323441
1403	dextrose	267.426	26.8	32.687	12.17051913
1403	dextrose	189.901	27.358	36.025	9.140344208
1403	dextrose	102.874	48.166	12.579	0.557789816
1403	dextrose	201.981	38.134	16.055	2.229955022
1403	dextrose	389.758	21.499	16.055	13.53844636
1403	dextrose	74.285	56.647	23.286	0.539066311
1403	dextrose	64.069	37.547	11.392	0.517722973
1403	dextrose	223.364	24.801	18.135	6.585554582
1403	dextrose	74.041	42.374	20.309	0.837455792
1403	dextrose	69.295	41.183	15.549	0.63528471
1403	dextrose	305.159	22.071	18.667	11.69382766
1403	dextrose	73.37	42.164	15.202	0.627387177
1403	dextrose	232.513	18.135	17.385	12.29098857
1403	dextrose	641.024	16.707	32.469	74.56692909
1403	dextrose	51.294	22.667	12.074	1.205395733
1403	dextrose	396.251	29.814	33.44	14.90720232
1403	dextrose	100.249	23.286	30.782	5.69098049
1403	dextrose	62.681	40	10.414	0.407974959
1403	dextrose	312.14	35.876	32.551	7.894156473
1403	dextrose	53.666	45.117	19.414	0.511839529
1403	dextrose	385.612	23.324	17.333	12.28621786
1403	dextrose	62.936	45.607	12.579	0.380611795
1403	dextrose	103.159	48.899	13.92	0.600546172
1403	dextrose	310.211	33.119	52.273	14.78359951
1403	dextrose	309.896	31.609	16.055	4.979718207
1403	dextrose	420.567	25.889	14.727	9.240999109
1403	dextrose	49.026	39.643	15.202	0.474235613
1403	dextrose	308.072	32.111	35.075	10.47954065
1403	dextrose	650.772	32.111	20.309	12.81768922
1403	dextrose	46.667	48.479	31.805	0.631535804
1403	dextrose	585.066	22.627	28.535	32.608347
1403	dextrose	53.483	36	8	0.330141975
1403	dextrose	69.354	43.186	17.692	0.657903935
1403	dextrose	53.935	39.56	10	0.344633997
1403	dextrose	63.071	48.765	16.125	0.427674132
1403	dextrose	69.065	38.118	15	0.712999235
1403	dextrose	55.478	42.09	13.499	0.422731433
1403	dextrose	123.98	24.037	9.545	2.048174891
1403	dextrose	53.537	42.19	10.687	0.321433243
1403	dextrose	60.7	44.687	8	0.243173518
1403	dextrose	54.691	41.526	8.969	0.284459007
1403	dextrose	51.923	37.836	8.692	0.315260138
1403	dextrose	63.589	41.846	12.579	0.456793811
1403	dextrose	55.494	43.858	10.154	0.292944631
1403	dextrose	53.371	33.948	10.154	0.470234092
1403	dextrose	45.338	36.908	12.019	0.400027335
1403	dextrose	31.447	30	13.098	0.457658673
1403	dextrose	52.717	27.56	12.401	0.860694383
1403	dextrose	57.985	35.559	9.428	0.432350691
1403	dextrose	46.671	31.588	10.853	0.507636277
1403	dextrose	59.438	44.472	11.643	0.349909524
1403	dextrose	111.658	22.49	13.482	2.976221547
1403	dextrose	53.852	50.64	11.926	0.250443202
1403	dextrose	96.724	32.667	12.684	1.149666765
1403	dextrose	194.531	36.381	15.846	2.32894486
1403	dextrose	70.263	44.192	12.401	0.4461656
1403	dextrose	52.565	35.087	10.995	0.469460902
1403	dextrose	186.934	24.667	14.56	4.473186509
1403	dextrose	54.398	32.311	6.96	0.362653083
1403	dextrose	218.578	25.526	10.853	3.64074885
1403	dextrose	70.079	49.049	11.333	0.330120481
1403	dextrose	154.402	34.28	12.579	1.652788994
1403	dextrose	62.84	48.667	16.138	0.428170494
1403	dextrose	42.859	27.333	10.198	0.585035795
1403	dextrose	48.023	40.277	7.333	0.217078465
1403	dextrose	48.534	40.732	8.667	0.253538206
1403	dextrose	330.606	48.01	38.471	5.517988544
1403	dextrose	324.119	29	47.127	18.16261131
1403	dextrose	176.505	22.023	15.652	5.696051328
1403	dextrose	55.156	41.788	13.872	0.438155907
1403	dextrose	97.324	58.549	15.041	0.427029323
1403	dextrose	55.658	42.9	12.824	0.387825643
